question,option1,option2,option3,option4,correct,,,
what is the official home of the PM?,10 Downing Street,Buckingham Palace,Windsor Castle,21 Oxford Street,1,,,
When did the conservative government called a referendum on the UK's membership of the EU?,23rd June 2016,23rd July 2016,23rd June 2015,23rd July 2015,1,,,
Which British sports woman won two gold medals for running in the 2004 olympic games?,Dame Kelly Holmes,Dame Ellen MacArthur,Jayne Torvill,Jessica Ennis-Hill,1,,,
What percentage of total British population is located in England alone?,70,64,84,75,3,,,
What was the population of the UK in 2010,just over 50 million,just over 40 million,just over 62 million,just over 65 million,3,,,
"Which court deals with cases involving personal injury, family matters, breaches of contract and divorce in England and Wales?",County courts,The Crown Court,The High Court,The Sheriff Court,1,,,
what is the name of the building where the Scottish Parliament meet?,Holyrood,Senedd,Westminster,Stormont,1,,,
Which flower is associated with England?,Rose,Daffodil,Shamrock,Thistle,1,,,
Who was Robert Burns?,A Scottish Poet,A British musician,A Welsh scientist,An Irish engineer,1,,,
In which period did the British Film studios flourish?,1920s,1870s,1900s,1930s,4,,,
What is the capital city of Northern Ireland?,Belfast,Dublin,Cork,Edinburgh,1,,,
What name is given to the day when people play jokes on each other until midday?,Remembrance Day,April's Fool Day,Halloween,Valentine's Day,2,,,
Who is the fastest person to have sailed around the world single-handed?,Dame Kelly Holmes,Dame Ellen MacArthur,Jayne Torvill,Bradley Wiggins,2,,,
When did the First World War end?,9th November 1918,11th November 1918,9th December 1918,11th December 1918,2,,,
What are Welsh cakes made of?,"Suet, onions and oatmeal","Flour, dried fruits and spices","Potatoes, vegetables, Yorkshire puddings","Bacon, eggs, sausage, black pudding and potato bread",2,,,
Where is the London Eye situated?,On the northern bank of the River Thames,On the Southern bank of River Thames,on the northern bank of River Lea,On the southern bank of the River Lea,2,,,
What is the relationship between the monarch and the government?,Approve the government's decisions on government policies,"Advise, warn and encourage the government's decisions","Advise, encourage and approve the government's decisions",Advise and approve the government's decisions.,2,,,
The UK is a ‘constitutional monarchy’:,TRUE,FALSE,,,1,,,
What do you need to apply to become a permanent resident or citizen of the UK (Choose TWO options)?,A British driving license,To be able to speak and read English,A British University degree,A good understanding of life in the UK,"2,4",,,
Which British scientist was awarded a Nobel Prize for discovering the structure of the DNA molecule?,Alan Turing,Sir Frank Whittle,Sir Christopher Cockrell,Francis Crick,4,,,
Who established the Church of England?,King Charles III,The Archbishop of Canterbury,Henry VIII,Elizabeth I,3,,,
When does Lent take place?,40 days before Christmas,40 days after Christmas,40 days before Easter,40 days after Easter,3,,,
Which of the following national galleries is NOT located in London?,Tate Britain,The National Gallery,Tate Modern,The National Museum,4,,,
How much can you be fined if you watch TV but do not have a TV licence?,up to £500,up to £1000 ,up to £2000,up tp £3000,2,,,
"How old is the clock at the Houses of Parliament in London, also known as ‘Big Ben’?",100 years old,150 years old,200 years old,250 years old,2,,,
The UK was a full member of the European Union but did not use the Euro currency.,TRUE,FALSE,,,1,,,
The North Atlantic Treaty Organisation is a group of European and North American countries that was created with which TWO purposes:,Protect and promote human rights in those countries,help each other if they come under attach,Maintain peace between all its members,Promote free trade amongst those countries,"2,3",,,
The small claims procedure is used in England and Wales for minor disputes for:,claims of less than £15000,claims of less than £5000,Claims of less than £3500,Claims of less than £10000,4,,,
"What name is given to the period in the 18th century when new ideas about politics, philosophy and science were developed?",The Enlightenment,The Glorious Revolution,The Industrial Revolution,Elizabethan,1,,,
What is the meaning of ‘Magna Carta’?,The Big Charter,The Great Charter,The King's Charter,The Small Charter,2,,,
When did the Wars of the Roses end?,1455,1462,1478,1485,4,,,
Which of the following is the responsibility of the Chancellor of the Exchequer?,Education,Agriculture,Economy,Defence,3,,,
In which British university did Isaac Newton study?,University of Bolton,University of Cambridge,Cranfield University,University of Dundee,2,,,
Who invaded England after the Romans?,The Vikings,The Anglo-Saxons,The Normans,The Scots,2,,,
When did people learn to make bronze?,Around 3000 years ago,Around 4000 years ago,Around 5000 years ago,Around 2000 years ago,2,,,
When is the Jewish celebration known as Hanukkah normally celebrated?,June or July,October or November,November or December,March or April,3,,,
What musical award is given during the Mercury Music Prize?,Best album from the UK,Best album from the UK and Ireland,Best solo artist from the UK,Best solo artist from the UK and Ireland,2,,,
Who was Boudicca?,One of the tribal leaders who fought against the Romans,One of the architects who built Hadrian's Wall,A Viking king,One of the tribal leaders who fought against the Vikings,1,,,
Which TWO of the following water sports are popular in the UK?,Waterpolo,Rowing,Sailing,Surfing,"2,3",,,
Which of the following statements is TRUE?,Forcing another person to marry is a civil offence,Forcing another person to marry is a criminal offence,Forcing another person to marry is a criminal offence,Forcing another person to marry is common in the UK,2,,,
"In the UK, what should dogs wear in public places?",A collar with the name and address of the owner,A collar with the name of the dog,A tracking device in case they get lost,Clothes to avoid the cold in the winter,1,,,
Where do UK residents need to register their car or motorcycle?,At the Home Office,At the Ministry of Transport,At the Driver and Vehicle Licensing Agency,At their local council,3,,,
Popular social networking websites in the UK include:,Drupal and Amazon,Facebook and Twitter,Dropbox and itunes,iCloud and itunes,2,,,
"According to the 2011 Census, what percentage of the population identified themselves as Muslim?",1%,2%,3%,4.80%,4,,,
How often are elections held for the Welsh government?,Every four years,Every three years,Every five years,Every six years,1,,,
Who was the British Minister after Margaret Thatcher?,Tony Blair,Harold Macmillan,Gordon Brown,John Major,4,,,
What name is given to the person appointed by local authorities to be the ceremonial leader of a particular council?,Council candidate,Mayor,Peer,Magistrate,2,,,
What is the meaning of the term ‘first past the post’?,"In each constituency, the candidate who gets the most votes is elected","If no political party wins a majority, two parties may join and govern together","If an MP dies or resigns, there will be a fresh election",,1,,,
Who defeated Emperor Napoleon at the Battle of Waterloo in 1815?,The Duke of Wellington,Admiral Nelson,Richard Arkwright,The Duke of Ediburgh,1,,,
"Which court deals with the MOST serious cases in Scotland, such as murder?",The Magistrate's court,The Sheriff Court,The Crown Court, The High Court,4,,,
What was the symbol of the House of Tudor?,A red rose with a white rose inside it,A red rose,A white rose,A white rose with a red rose inside it,1,,,
What animal is represented in the Welsh flag?,A lion,A dragon,A tiger,A cat,2,,,
Which famous economist developed ideas about economics during the 18th century and which are still referred to today?,Robert Dudley Baxter,David Hume,Adam Smith,Henry George,3,,,
Who is the ceremonial head of the Commonwealth?,The British King,The Pope,The President of the United States,The Prime Minister of the UK,1,,,
What time do pubs usually open during the week?,9:00 AM,10:00 AM,11:00 AM,12:00 PM,3,,,
In which TWO movie categories does Britain continue to be particularly strong at?,Special effects movies,Action movies,Thrillers,Animation movies,"1,4",,,
Which British artist was a portrait painter who often painted people in country or garden scenarios?,Thomas Gainsborough,David Allan,Joseph Turner,John Constable,1,,,
During which religious celebration do Muslims sacrifice an animal to eat?,Eid ul Adha,Eid a-Fitr,Ramadan,Vaisakhi,1,,,
How old do you need to be to be able to play the National Lottery?,16 years old,18 years old,20 years old,21 years old,2,,,
Where is the five-day race meeting attended by members of the Royal Family and known as Royal Ascot celebrated?,In Luton,In Berkshire,In Salisbury,In Kent,2,,,
Who was the first person to lead a Roman invasion in Britain in 55 BC?,Emperor Claudius,Julius Caesar,Napoleon,William Caxton,2,,,
Who wrote ‘The Lord of the Rings’?,JK Rowling,JRR Tolkien,Sir William Golding,Jane Austen,2,,,
"Which court deals with minor criminal cases in England, Wales and Northern Ireland?",The Justice of the Peace Court,The Magistrate's Court,The High Court,The Crown Court,2,,,
What name is given to the tombs where people buried their dead during the Bronze Age?,Skara Brae,Hill forts,Round barrows,Canute,3,,,
The Northern Ireland Assembly cannot make decisions on:,Education,Defence,Agriculture,Health,2,,,
"According to the 2011 Census, what percentage of the population identified themselves as Buddhist?",less than 0.5%,Less than 1%,Less than 2%,Less than 3%,1,,,
In which category did Jayne Torvill and Christopher Dean win gold medals at the Olympic Games in 1984?,Rowing,Marathon,Swimming,Ice dancing,4,,,
What is the first verse of the National Anthem of the UK ‘God save the King’?,Long to reign over us,God save the King!,Long live our noble King!,God save our gracious King!,4,,,
Which of the following is NOT a British invention of the 20th century?,The radar,The Turing machine,The World Wide Web,Radioactivity,4,,,
"Which British Prime Minister was famous for the speech ‘I have nothing to offer but blood, toil, tears and sweat’?",Clement Attlee,Anthony Eden,Winston Churchill,Harold Wilson,3,,,
Which of the following countries did NOT belong to the Allies during World War I?,France,Bulgaria,The UK,Australia,2,,,
Which TWO of the following charities work with homeless people?,Friends of the Earth,Shelter,Crisis,Oxfam,"2,3",,,
Which flower is associated with Scotland?,Rose,Thistle,Daffodil,Shamrock,2,,,
What is the money from TV licences used for?,To pay actors and actresses,To pay for the BBC,To pay for publicity,To pay for private channels,2,,,
Members of the Welsh government are elected every four years on the basis of:,Proportional representation,Personal achievement,Instant run-off,First past the post system (the candidate who gets the most votes),1,,,
What is the Commonwealth?,An association of countries that support each other and work together towards shared goals in democracy and development,An organisation responsible for the protection and promotion of human rights in its member countries,An association of countries that promotes international peace and security,A group of European and North American countries that have agreed to help each other if they come under attack,1,,,
Which famous architect designed St Paul’s Cathedral after it was destroyed by a fire in 1666?,Sir Christopher Wren,Isaac Newton,Robert Burns,Isambad Kingdom Brunel,1,,,
Which of the following is a fundamental principle of life in the UK?,Rule of men,Individual liberty,Intolerance of those with different beliefs,Lack of social cohesion,2,,,
Which of the following countries belongs to the Commonwealth?,Morocco,Algeria,Mozambique,Mali,3,,,
Who has to pay national insurance contributions in the UK?,Everybody under the age of 65,Almost everybody who is in paid work,Everybody under the age of seventy,People with earnings over £18000 per year,2,,,
A good way to support your local community is to shop for products locally.,TRUE,FALSE,,,1,,,
Where is the centrepiece to the Remembrance Day service known as Cenotaph located?,"Cardiff, Wales","Whitehall, London","Hunslow Heath, London","Piccadilly Circus, London",2,,,
Which of the following territories does not belong to Great Britain?,Scotland,Wales,Northern Ireland,England,3,,,
Who was the first Briton to win the ‘Tour de France’?,Sir Chris Hoy,Bradley Wiggins,Andy Murray,Sir Steve Redgrave,2,,,
Which of the following statements is TRUE?,The English language has no dialects,The English language has many accents and dialects,Gaelic is spoken in North Wales,In Northern Ireland people speak French,2,,,
How old do you need to be to go into betting shops or gambling clubs?,16 years old,18 years old,20 years old,21 years old,2,,,
"What do Ian McEwan, Hilary Mantel and Julian Barnes have in common?",They are British sports players,They were awarded with the Man Booker Prize for Fiction,They won a Nobel Prize in Literature,They were awarded with the Mercury Music Prize,2,,,
In Northern Ireland members of the Legislative Assembly are elected on the basis of:,Proportional representation,Personal achievement,First past the post system,Instant run-off,1,,,
How can MPs be contacted (choose TWO options)?,By letter,By going to your local council and asking for an appointment,By phoning their constituency office,Through facebook,"1,3",,,
What did the’Bill of Rights’ confirm in 1689?,Women's right to vote,The rights of Parliament and the limits of the king's power,The supreme power of the king,The freedom of speech,2,,,
Who designed the Clifton Suspension Bridge located over the Avon George?,Sir Norman Foster,Isambard Kingdom Brunel,Richard Arkwright,Robert Adam,2,,,
Does Britain have a written constitution?,Yes,No,,,2,,,
What was the estimated population of the British Empire during the Victorian period?,More than 300 million people,More than 400 million people,More than 450 million people,More than 500 million people,2,,,
Which of the following countries was NOT part of the Allied Powers during the First World War?,France,Japan,Serbia,Bulgaria,4,,,
How many times have the Olympic Games been hosted in the UK?,Two,Three,Four,Six,2,,,
When were films first shown publicly in the UK?,1887,1896,1897,1886,2,,,
What is the name of the building where the Welsh government members meet?,Westminster,Stormont,Holyrood,Senedd,4,,,
Where is the city of Southampton located?,England,Wales,Northern Ireland,Scotland,1,,,
When did the First World War finish?,At 12 am on 11th November 1918,At 11 am on 11th November 1918,At 11 pm on 13th November 1916,At 12 am on 13th February 1918,2,,,
Florence Nightingale was known for her work on:,Human rights,The development of nursing in the UK,The development of computer science,The development and manufacture of motor-sport technology,2,,,
Which Act abolished slavery throughout the British Empire in 1833?,The Freedom Act,The Habeas Corpus Act,The Emancipation Act,The Slavery Act,3,,,
How long does Diwali last for?,A weekend,40 days after Christmas,five days,A week,3,,,
Who became King of Britain when Queen Anne died in 1714?,James II,George II,George I,Charles I,3,,,
What was the population of the UK in 2005?,Just under 50 million,Just under 60 million,Just over 50 million,Just under 62 million,2,,,
When did the ‘Habeas Corpus Act’ become law?,In 1679,In 1669,In 1689,In 1709,1,,,
Who discovered the penicillin in 1928?,Sir Robert Watson Watt,Alexander Fleming,John McLeod,Howard Florey,2,,,
"During the Middle Ages, England was an important trading nation and people came to England from abroad to trade and also to work. Where did glass manufacturers come from?",Germany,Italy,Holland,France,2,,,
Where can people facing domestic violence get help from?,The NHS,The Citizens Advise Bureau,The Human Rights Commission,The RSPB,2,,,
Which American President worked closely with Margaret Thatcher?,Hilary Climton,Ronald Reagan,Jimmy Carter,George Bush,2,,,
People might be taken to court if they owe money to someone.,TRUE,FALSE,,,1,,,
Who was the first Archbishop of Canterbury?,St Patrick,St Columba,St Augustine,St Peter,3,,,
"How many members does a jury have in England, Wales and Northern Ireland?",12,14,15,18,1,,,
What is tested with a driving test (choose TWO options)?,Your medical condition,Your knowledge,Your practical skills,Your physical condition,"2,3",,,
What is the role of the Speaker?,To keep order during political debates to make sure the rules are followed,To point out what they see as the government’s failures and weaknesses,To control important public appointments,To challenge the government and put forward alternative policies,1,,,
Which of the following statements is FALSE regarding Youth Courts?,The parents or carers of the young person being judged are expected to attend the hearing,Members of the public are not allowed in them,They are used for trials of young people aged 10 to 18,The name or photographs of the accused young person cannot be published in newspapers or used by the media,3,,,
Which TWO films were directed by David Lean?,Brief Encounter,The 39 steps,Lawrence of Arabia,Chariots of Fire,"1,3",,,
Which of the following venues is located in Glasgow?,The O2,Wembley Stadium,The SEC Centre,Buckingham Palace,3,,,
How many British casualties were recorded during the first day of the British attack of the Somme in July 1916 during the First World War?,"60,000","70,000","30,000","50,000",1,,,
"The Welsh dragon on the Welsh flag does not appear on the Union Flag because, when the first Union Flag was created in 1606 from the flags of Scotland and England, the Principality of Wales was already untied with England:",TRUE,FALSE,,,1,,,
Which two countries developed the ‘Concorde’ aircraft?,Germany and Italy,USA and Canada,Germany and Switzerland,France and Britain,4,,,
What was the population of the UK in 1801?,5 million,8 million,10 million,12 million,2,,,
Where is there UK geographically located?,In the north east of Europe,In the south east of Europe,In the north west of Europe,In the south west of Europe,3,,,
What is the main function of the Council of Europe?,To protect and promote human rights,To promote international trade relationships,To maintain international peace,To recommend action when there are international crises and threats to peace,1,,,
Sir Alfred Hitchcock was an important British film director,TRUE,FALSE,,,1,,,
Which Scottish physician and researcher co-discovered the insulin used to treat diabetes?,Francis Crick,Sir Robert Watson-Watt,John McLeod,John Logie Baird,3,,,
Who was voted the greatest Briton of all time in 2002?,Clement Attlee,Winston Churchill,Anthony Eden,Harold Wilson,2,,,
"When is St George’s Day, patron of England?",23rd of April,1st of March,17th of March,30th of November,1,,,
Which TWO of the following responsibilities will you have as a permanent resident or citizen of the UK?,To respect and obey the law,To go to church on Sundays,To look after the area in which you live and the environment,To do the military service,"1,3",,,
Which TWO of the following social laws were liberalised during the ‘Swinging Sixties’?,The law of abortion,The law of divorce,The law of immigration,The law of adoption,"1,2",,,
Who was the mother of Elizabeth I?,Jane Seymour,Anne of Cleves,Catherine of Aragon,Anne Boleyn,4,,,
Who was the first wife of Henry VIII?,Anne Boleyn,Catherine of Aragon,Anne of Cleves,Catherine Howard,2,,,
Which of the following flags is not represented in the union flag?,Welsh,Scottish,English,Irish,1,,,
When does the Edinburgh Festival take place?,Every summer,Every spring,Every winter,Every autumn,1,,,
When did ‘the Concorde’ aircraft fly for the first time?,In 1969,In 1970,In 1975,In 1976,1,,,
By which other name is the Conservative Party also known as?,The Labour Party,The Whigs,The Green Party,The Tories,4,,,
When was the Northern Ireland Parliament established for the first time?,In 1922,In 1972,In 1998,In 1969,1,,,
What is the opposition?,The second largest party in the House of Lords,The third largest party in the house of commons,The second largest party in the house of Commons,The third largest party in the House of Lords,3,,,
Which two languages combined form the basis of the English language?,French and Swedich,Latin and Celtic,Latin and Greek,Norman French and Anglo-Saxon,4,,,
Which THREE of the following are known to be main parts of the British government?,The cabinet,The judiciary,The local organizations,The police,"1,2,4",,,
When did Adolf Hitler come to power in Germany?,In 1922,In 1931,In 1933,In 1942,3,,,
Who invented the hovercraft?,Sir Frank Whittle,Sir Christopher Cockerell,John Logie Baird,Sir Robert Edwards,2,,,
Which court deals with serious criminal offences in Wales?,The Sheriff Court,The Crown Court,The High Court,The Magistrate's Court,2,,,
What is the minimum age requirement to buy alcohol in a pub or night club in the UK?,16 years old,18 years old,20 years old,21 years old,2,,,
What is the coin with the highest value in the UK?,50p,£2,£5,£10,2,,,
When were Protection Orders to protect a person from being forced into a marriage introduced in Scotland?,2007,2008,2010,2011,4,,,
Which TWO of the following are famous horse racing events in the UK?,The Major Race,The Grand National,Royal Ascot,Six Nations Championship,"2,3",,,
Which of the following events relates to the German bombing of London and other British cities at night time during the World War II?,The Bombing,The German raid,The Blitz,The Axis,3,,,
"Who wrote an oratorio called ‘Messiah’, which is regularly sung by choirs at Easter time?",George Frederick Handle,Sir Edward Elgar,Gustav Holst,Henry Purcell,1,,,
When did hereditary peers lose the automatic right to attend the House of Lords?,1985,1995,1989,1999,4,,,
Which of the following is England’s largest national park?,The Lake District,Snowdonia,South Downs,Loch Lomond and the Trossachs,1,,,
Which of the following social changes took place during the ‘Swinging Sixties’?,The position of women in the workplace was improved,Everyone could study in the University for free,People from the same gender were allowed to get married,All musical events were free,1,,,
Where was Emmeline Pankhurst born?,Liverpool,Kent,Manchester,Chester,3,,,
Which of the following is a traditional English food?,French fries,Roast beef,Haggis,Ulster fry,2,,,
What are pantomimes based on?,Fairy stories,Drama stories,Traditional stories,War stories,1,,,
What was inscribed in the first coins to be minted in Britain during the Iron Age?,Celtic symbols,The names of Iron Age Kings,Drawings of animals,The names of medicine plants,2,,,
What name is given to the Church of England in Scotland and the United States?,The Main Church,The King's Church,The Episcopal Church,The Catholic Church,3,,,
Who directed the movie ‘Four Weddings and a Funeral’ in 1994?,Mike Newell,Hugh Hudson,Kevin MacDonald,Nicolas Roeg,1,,,
What was the population of the UK in 1951?,20 million,40 million,35 million,50 million,4,,,
Which TWO religions celebrate Diwali?,Vuddhist,Muslim,Hindu,Sikh,"3,4",,,
Which of the following statements is true?,Proceedings in Parliament are broadcast on television and published in official reports,Proceedings in Parliament are not broadcast on television but published in official reports,Proceedings in Parliament are broadcast on the radio and not published in official reports,Proceedings in Parliament are broadcast on the radio only,1,,,
"In Northern Ireland, a newly qualified driver must display an R plate for one year after passing the test.",TRUE,FALSE,,,1,,,
"When did Emmeline Pankhurst set up the women’s Franchise League, which fought to get the vote in local elections for married women?",1880,1889,1890,1899,2,,,
How many ski centres are there in Scotland?,4,5,6,7,2,,,
The public can listen to debates in the Palace of Westminster from public galleries in the House of Commons but not in the House of Lords:,TRUE,FALSE,,,2,,,
Which is the oldest tennis tournament in the world?,The Australian Open,The US Open,Roland Garros,The Wimbledon Championships,4,,,
Which of the following is a British invention of the 20th century?,The Harrier jump jet,Radon,Paraffin wax,The lightbulb,1,,,
"Churchill was the son of a politician and, before becoming a Conservative MP in 1900, was a soldier and journalist.",TRUE,FALSE,,,1,,,
"During the 17th century there were two main groups in Parliament, which were known as:",The Whigs and the Tories,The Liberal Democrats and the Labour Party,The lefties and the right wing,The Conservative Party and the Liberal Democrats,1,,,
Where is the ‘Eden Project’ located?,Cornwall,Devon,Doncaster,Dublim,1,,,
When was the Women’s Social and Political Union (WSPU) established?,1889,1901,1899,1903,4,,,
Which of the following is a traditional food from Northern Ireland?,Roast Beef,Haggis,Sausage casserole,Ulster fry,4,,,
Who is the author of the murder mystery play ‘The Mousetrap’?,Tim Rice,Andrew Lloyd Webber,Dame Agatha Christie,Gilbert and Sullivan,3,,,
Under which Act was the United Kingdom of Great Britain and Northern Ireland created?,The Act of Union,The Great Act,The United Kingdom Act,The Act of Great Britain,1,,,
When was the voting age reduced to 18 for men and women?,1965,1969,1919,1929,2,,,
Where is the city of Bradford located?,In England,In Scotland,In Wales,In Northern Ireland people speak French,1,,,
Which flag comprises a red cross on a white ground?,"The cross of St Andrew, patron saint of Scotland","The cross of St David, patron saint of Wales","The cross of St Patrick, patron saint of Ireland","The cross of St George, patron saint of England",4,,,
When did the first farmers arrive in Britain?,6000 years ago,7000 years ago,8000 years ago,10000 years ago,1,,,
In which English county is the monument of Stonehenge located?,Bedfordshire,Cheshire,Wiltshire,Cornwall,3,,,
What is the best-known work from Robert Burns?,Auld Lang Syne,Hamlet,A rose by another name,George's Marvellous Medicine,1,,,
Which of the following crosses does NOT form part of the Union Flag?,"The cross of St George, Patron saint of England","The cross of St David, patron saint of Wales","The cross of St Patrick, patron saint of Ireland","The cross of St Andrew, patron saint of Scotland",2,,,
What day is Halloween celebrated?,30th of November,30th of October,14th of February,31st of October,4,,,
"Who was the first British distance runner to win a gold medal in the Olympic games in the 10,000 metres?",Mo Farah,Bradley Wiggins,Sir Chris Hoy,David Weir,1,,,
Which of the following statements is TRUE?,"For some Scottish people, Hogmanay is a bigger holiday than Christmas","For some Scottish people, Hogmanay is a bigger holiday than New Year’s Eve","For some Welsh people, Hogmanay is a bigger holiday than Christmas","For some Irish people, Hogmanay is a bigger holiday than New Year’s Eve",1,,,
"Light-hearted plays with music and comedy, which are enjoyed by family audiences and based on fairy stories are known as:",Children's plays,Pantomimes,Hogmanay,Parades,2,,,
What British actor was best known for his roles in various Shakespeare plays?,Sir Laurence Olivier,Joseph Turner,Andrew Lloyd Webber,Tim Rice,1,,,
Who built the Tower of London after becoming king in 1066?,Oliver Cromwell,Henry VIII,William the Conqueror,Henry VII,3,,,
Who succeeded David Cameron as Prime Minister after the referendum on the UK’s membership of the European Union?,Boris Johnson,Theresa May,Gordon Brown,Liz Truss,2,,,
Who composed a suite of pieces themed around the planets and the solar system called ‘The Planets’?,The Edward Elgar,George Frederick Handel,Gustav Holst,Sir William Walton,3,,,
What was the population of the UK in 1998?,40 million,50 million,55 million,57 million,4,,,
Who is the chief officer of the House of Commons?,The Prime Minister,The Speaker,The Archbishop of Canterbury,The leader of the opposition,2,,,
What characterises the British constitution?,It was written by the Prime Minister,It was written by the King,"It is not written down in any single document, and therefore it is described as ‘unwritten",It was written by Henry VIII,3,,,
How old was Queen Victoria when she became Queen in 1837?,A week old,4 years old,20 years old,18 years old,4,,,
When did the First World War start?,1912,1914,1942,1940,2,,,
Who forms the judiciary?,The judges collectively,The Magistrated together,The MPs together,The judges and the Magistrates together,1,,,
Which of the following is a musical venue located in London?,The O2,Glastonbury,The Dome,The Fringe,1,,,
Who directed the movie ‘The Killing Fields’ in 1984?,Roland Joffe,High Hudson,Kevin MacDonald,Nicolas Roeg,1,,,
Which TWO of the following castles are located in Scotland?,Conwy Castle,Caernarfon Castle,Crathes Castle,Inveraray Castle,"3,4",,,
Which battle signified the end of the Wars of the Roses?,The Battle of Agincourt,The Battle of Basworth Field,The Battle of Bannockburn,The Battle of Marston Moor,2,,,
Which court deals with minor criminal offences in Scotland?,The Justice of the Peace Court,The Magistrate's Court,The Sheriff Court,The Crown Court,1,,,
"If an MP dies or resigns, there will be a fresh election, which is known as:",Hansard,First past the post,By-election,Coalition,3,,,
A person who has not paid enough National Insurance contributions will not be able to receive certain contributory benefits including (choose TWO options):,Jobseeker's Allowance,A full state retirement pension,Maternity Allowance,Disability Living Allowance,"1,2",,,
Who succeeded Theresa May as Prime Minister on the 24th July 2019?,Rishi Sunak,Gordon Brown,David Cameron,Boris Johnson,4,,,
What name is given to the period of rapid development of industry in Britain in the 18th and 19th centuries?,The Enlightenment,The Industrial Revolution,The Victorian period,The inter-war period,2,,,
"During the slave trade, slaves were taken from West Africa to America and the Caribbean to work on tobacco and sugar plantations.",TRUE,FALSE,,,1,,,
Who was responsible for the construction of the Great Western Railway?,Isambard Kingdom Brunel,Sir Norman Foster,Sir Christopher Wren,Robert Adam,1,,,
In which of the following areas has the Senedd the power to make laws (choose four answers)?,Education and training,Military defence,Economic development,Housing,Immigration,Health and social services,"1,3,4,6",
